scheme_code,scheme_name,date,nav
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-07-2022,4707.005
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-07-2022,4707.0615
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-07-2022,4706.789
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-07-2022,4706.428
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-07-2022,4704.6836
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-07-2022,4703.989
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-07-2022,4703.325
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-07-2022,4702.207
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-07-2022,4701.829
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-07-2022,4699.945
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-07-2022,4699.4326
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-07-2022,4698.696
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-07-2022,4697.1426
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-07-2022,4695.8613
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-07-2022,4693.142
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-06-2022,4691.869
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-06-2022,4690.617
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-06-2022,4690.0127
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-06-2022,4689.512
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-06-2022,4687.3745
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-06-2022,4686.3545
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-06-2022,4685.4043
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-06-2022,4684.361
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-06-2022,4683.6357
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-06-2022,4681.5415
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-06-2022,4681.3667
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-06-2022,4681.06
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-06-2022,4680.7705
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-06-2022,4680.118
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-06-2022,4678.9233
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-06-2022,4678.2476
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-06-2022,4677.414
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-06-2022,4674.5005
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-06-2022,4675.797
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-06-2022,4674.391
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-06-2022,4673.7495
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-06-2022,4673.3433
119092,HDFC Money Market Fund - Growth Option - Direct Plan,31-05-2022,4672.3555
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-05-2022,4671.509
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-05-2022,4669.7314
119092,HDFC Money Market Fund - Growth Option - Direct Plan,26-05-2022,4669.0503
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-05-2022,4668.429
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-05-2022,4667.538
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-05-2022,4666.596
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-05-2022,4664.2515
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-05-2022,4663.7603
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-05-2022,4663.677
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-05-2022,4663.1567
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-05-2022,4660.421
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-05-2022,4661.152
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-05-2022,4661.465
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-05-2022,4661.6694
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-05-2022,4661.023
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-05-2022,4659.6753
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-05-2022,4659.816
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-05-2022,4663.213
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-05-2022,4670.3438
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-04-2022,4668.6367
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-04-2022,4668.3984
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-04-2022,4667.9814
119092,HDFC Money Market Fund - Growth Option - Direct Plan,26-04-2022,4667.5015
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-04-2022,4667.0376
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-04-2022,4665.5093
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-04-2022,4665.1006
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-04-2022,4664.199
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-04-2022,4663.0264
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-04-2022,4661.763
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-04-2022,4658.6763
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-04-2022,4659.2026
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-04-2022,4658.451
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-04-2022,4657.34
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-04-2022,4659.715
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-04-2022,4658.9033
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-04-2022,4657.843
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-04-2022,4657.4126
119092,HDFC Money Market Fund - Growth Option - Direct Plan,31-03-2022,4654.7983
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-03-2022,4653.235
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-03-2022,4652.382
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-03-2022,4651.793
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-03-2022,4649.9585
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-03-2022,4649.185
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-03-2022,4648.125
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-03-2022,4647.284
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-03-2022,4646.923
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-03-2022,4644.472
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-03-2022,4643.769
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-03-2022,4642.8394
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-03-2022,4641.65
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-03-2022,4639.5083
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-03-2022,4638.5527
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-03-2022,4637.957
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-03-2022,4637.443
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-03-2022,4637.2964
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-03-2022,4635.9976
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-03-2022,4635.545
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-03-2022,4636.0195
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-02-2022,4635.194
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-02-2022,4633.8467
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-02-2022,4633.398
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-02-2022,4632.873
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-02-2022,4632.2754
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-02-2022,4631.8506
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-02-2022,4630.4697
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-02-2022,4630.1006
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-02-2022,4629.543
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-02-2022,4628.7
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-02-2022,4627.9326
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-02-2022,4625.8896
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-02-2022,4625.195
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-02-2022,4623.386
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-02-2022,4622.9824
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-02-2022,4620.8555
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-02-2022,4620.4473
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-02-2022,4619.943
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-02-2022,4620.5664
119092,HDFC Money Market Fund - Growth Option - Direct Plan,31-01-2022,4620.7866
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-01-2022,4619.2856
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-01-2022,4618.754
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-01-2022,4618.0166
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-01-2022,4617.711
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-01-2022,4616.209
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-01-2022,4615.744
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-01-2022,4615.2393
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-01-2022,4615.308
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-01-2022,4614.894
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-01-2022,4613.4873
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-01-2022,4612.896
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-01-2022,4612.167
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-01-2022,4611.553
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-01-2022,4611.018
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-01-2022,4609.615
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-01-2022,4609.165
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-01-2022,4608.593
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-01-2022,4607.935
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-01-2022,4607.45
119092,HDFC Money Market Fund - Growth Option - Direct Plan,31-12-2021,4605.4673
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-12-2021,4604.843
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-12-2021,4604.222
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-12-2021,4603.583
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-12-2021,4603.095
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-12-2021,4601.417
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-12-2021,4600.658
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-12-2021,4600.472
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-12-2021,4600.15
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-12-2021,4599.97
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-12-2021,4598.622
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-12-2021,4598.1816
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-12-2021,4598.181
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-12-2021,4597.7964
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-12-2021,4597.401
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-12-2021,4595.945
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-12-2021,4595.485
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-12-2021,4595.1206
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-12-2021,4594.1587
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-12-2021,4593.7534
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-12-2021,4592.389
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-12-2021,4591.9844
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-12-2021,4591.4404
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-11-2021,4590.832
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-11-2021,4590.1587
119092,HDFC Money Market Fund - Growth Option - Direct Plan,26-11-2021,4588.737
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-11-2021,4588.3535
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-11-2021,4587.9395
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-11-2021,4587.4717
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-11-2021,4586.9663
